Rank,Trial,Mean QWK,n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,min_split_gain,reg_alpha,reg_lambda,colsample_bytree,subsample,subsample_freq
1,12,0.9995301023977621,687,0.07697519632907092,11,254,100,0.004994829332326232,0.39231192483390354,4.958196332168743,0.5017211414024386,0.9152474630706611,8
2,22,0.9994868236113768,684,0.12998644496803619,6,237,99,0.01328471181264555,0.5594281909210801,3.992902427780603,0.8447040426668901,0.6614581510218185,7
3,6,0.999450612357298,312,0.11058146376563001,6,253,79,0.0993578407670862,0.027610585618011996,4.0773071422741705,0.8534286719238086,0.8645035840204937,8
4,24,0.9994362389767989,871,0.09397911220534416,8,239,93,0.04787310927998473,0.39763162097733035,2.9664490127766805,0.8159940932217166,0.536414288171798,5
5,14,0.9994360500561525,779,0.11634221596461905,6,226,82,0.004114850916917429,0.7386874189427123,4.9099817952847475,0.9988155364982468,0.7497239002832186,8
