feature,importance
cat__triage_nurse_id_NURSE-0028,0.0007284263002749994
cat__triage_nurse_id_NURSE-0026,0.000724804494185093
cat__triage_nurse_id_NURSE-0012,0.0007098957639605117
cat__triage_nurse_id_NURSE-0033,0.0007091962181605204
cat__triage_nurse_id_NURSE-0019,0.0007091799901875458
cat__triage_nurse_id_NURSE-0041,0.0006976704077505354
cat__triage_nurse_id_NURSE-0048,0.0006934433703094452
cat__triage_nurse_id_NURSE-0005,0.0006928325866406792
cat__triage_nurse_id_NURSE-0013,0.0006919417028014957
cat__triage_nurse_id_NURSE-0049,0.0006907952264178246
cat__triage_nurse_id_NURSE-0008,0.0006906943931382489
cat__triage_nurse_id_NURSE-0023,0.0006904585071927308
cat__triage_nurse_id_NURSE-0022,0.0006901229069288128
cat__triage_nurse_id_NURSE-0015,0.0006890957719588143
cat__triage_nurse_id_NURSE-0030,0.0006841934772388242
cat__sex_Other,0.0006830860129819394
cat__triage_nurse_id_NURSE-0045,0.0006815046750848617
cat__triage_nurse_id_NURSE-0044,0.0006799536211368815
cat__triage_nurse_id_NURSE-0047,0.000679251750769704
cat__triage_nurse_id_NURSE-0032,0.000678954341547903
cat__triage_nurse_id_NURSE-0009,0.0006746064750060227
cat__triage_nurse_id_NURSE-0024,0.0006728802486256599
cat__triage_nurse_id_NURSE-0014,0.0006707573586018188
cat__triage_nurse_id_NURSE-0002,0.0006685135790580882
cat__triage_nurse_id_NURSE-0004,0.0006662449455808034
cat__triage_nurse_id_NURSE-0050,0.0006649467684675526
cat__triage_nurse_id_NURSE-0003,0.000662799651798351
cat__triage_nurse_id_NURSE-0034,0.0006613682489847774
cat__triage_nurse_id_NURSE-0042,0.0006593898707988867
cat__triage_nurse_id_NURSE-0010,0.0006588166222041243
cat__triage_nurse_id_NURSE-0025,0.000658507783651979
cat__triage_nurse_id_NURSE-0046,0.0006539193096052669
cat__triage_nurse_id_NURSE-0038,0.0006518776871278051
cat__triage_nurse_id_NURSE-0040,0.0006493921418691427
cat__triage_nurse_id_NURSE-0039,0.0006475762636872504
cat__triage_nurse_id_NURSE-0035,0.0006471718859948548
cat__triage_nurse_id_NURSE-0001,0.0006464774273187348
cat__triage_nurse_id_NURSE-0027,0.0006420061155905245
cat__triage_nurse_id_NURSE-0043,0.0006390728805956573
cat__triage_nurse_id_NURSE-0018,0.0006349629846827448
cat__triage_nurse_id_NURSE-0006,0.0006327333471154744
cat__triage_nurse_id_NURSE-0031,0.0006154448374176564
cat__triage_nurse_id_NURSE-0029,0.0006151188833333935
cat__triage_nurse_id_NURSE-0037,0.0006135985681339407
cat__triage_nurse_id_NURSE-0017,0.0006115842369189725
cat__triage_nurse_id_NURSE-0036,0.0006064354524875264
cat__triage_nurse_id_NURSE-0021,0.0005872788294341653
